file_metadata,cruise_id,station,site,mesh,date_time,date,time_gmt,lat_in,lon_in,coordinateUncertaintyInMeters,minimumDepthInMeters,maximumDepthInMeters,flowmeter_in,flowmeter_out,flowmeter_diff,ship_speed_knots,inpeller_constant,split_size,notes,tow_time_min,net_size,net_area,distance_m,tow_speed_m_sec,volume_filt_cubic_m,vol_notes,taxa_orig,taxa,lifeStage,scientificName,scientificNameID,match_type,date_analyzed,pipette_vol_m_l,dillution,dillution_factor,split_amount,splits_analyzed,individualCount,aliquot_1,aliquot_2,aliquot_3,mean,ind_m3,number_ind_sample,total_split_amount,total_split_frac,aphiaID,url,scientificname,authority,status,unacceptreason,taxon_rank_id,rank,valid_aphia_id,valid_name,valid_authority,parent_name_usage_id,kingdom,phylum,class,order,family,genus,citation,lsid,is_marine,is_brackish,is_freshwater,is_terrestrial,is_extinct,modified
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Brachyuran Megalopa,Brachyuran,megalopa,Brachyura,urn:lsid:marinespecies.org:taxname:106673,exact,2022-01-18,5,500,100,0,,1,0,1,0,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,106673,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673,Brachyura,"Latreille, 1802",accepted,,120,Infraorder,106673,Brachyura,"Latreille, 1802",106670,Animalia,Arthropoda,Malacostraca,Decapoda,,,WoRMS (2025). Brachyura. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673 on 2025-02-06,urn:lsid:marinespecies.org:taxname:106673,1,1,1,1,0,2023-03-07T10:29:38Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Brachyuran Zoea,Brachyuran,zoea,Brachyura,urn:lsid:marinespecies.org:taxname:106673,exact,2022-01-18,5,500,100,0,,5,1,1,3,1.6666666666666667,16.684793646231153,333.33333333333337,2,0.5,106673,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673,Brachyura,"Latreille, 1802",accepted,,120,Infraorder,106673,Brachyura,"Latreille, 1802",106670,Animalia,Arthropoda,Malacostraca,Decapoda,,,WoRMS (2025). Brachyura. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106673 on 2025-02-06,urn:lsid:marinespecies.org:taxname:106673,1,1,1,1,0,2023-03-07T10:29:38Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Calocalanus spp.,Calocalanus,,Calocalanus,urn:lsid:marinespecies.org:taxname:104193,exact,2022-01-18,5,500,100,0,,1,1,0,0,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,104193,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193,Calocalanus,"Giesbrecht, 1888",accepted,,180,Genus,104193,Calocalanus,"Giesbrecht, 1888",104093,Animalia,Arthropoda,Copepoda,Calanoida,Paracalanidae,Calocalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Calocalanus Giesbrecht, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104193 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104193,1,0,0,0,,2024-05-04T12:17:07Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Candacia spp.,Candacia,,Candacia,urn:lsid:marinespecies.org:taxname:104157,exact,2022-01-18,5,500,100,0,,1,0,1,0,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,104157,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104157,Candacia,"Dana, 1846",accepted,,180,Genus,104157,Candacia,"Dana, 1846",104080,Animalia,Arthropoda,Copepoda,Calanoida,Candaciidae,Candacia,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Candacia Dana, 1846. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104157 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104157,1,0,0,0,,2024-06-03T15:55:30Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Caridean larvae,Caridean,larvae,Caridea,urn:lsid:marinespecies.org:taxname:106674,exact,2022-01-18,5,500,100,0,,5,3,1,1,1.6666666666666667,16.684793646231153,333.33333333333337,2,0.5,106674,https://www.marinespecies.org/aphia.php?p=taxdetails&id=106674,Caridea,"Dana, 1852",accepted,,120,Infraorder,106674,Caridea,"Dana, 1852",106670,Animalia,Arthropoda,Malacostraca,Decapoda,,,DecaNet eds. (2025). DecaNet. Caridea. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=106674 on 2025-02-06,urn:lsid:marinespecies.org:taxname:106674,1,1,1,0,0,2016-08-27T18:02:04Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Chaetognaths,Chaetognaths,,Chaetognatha,urn:lsid:marinespecies.org:taxname:2081,exact,2022-01-18,5,500,100,0,,53,20,19,14,17.666666666666668,176.85881265005023,3533.3333333333335,2,0.5,2081,https://www.marinespecies.org/aphia.php?p=taxdetails&id=2081,Chaetognatha,,accepted,,30,Phylum,2081,Chaetognatha,,2,Animalia,Chaetognatha,,,,,WoRMS (2025). Chaetognatha. Accessed at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=2081 on 2025-02-06,urn:lsid:marinespecies.org:taxname:2081,1,,,,,2008-11-14T13:45:35Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Clausocalaus spp.,Clausocalaus,,Clausocalanus,urn:lsid:marinespecies.org:taxname:104161,near_1,2022-01-18,5,500,100,0,,1,0,0,1,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,104161,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104161,Clausocalanus,"Giesbrecht, 1888",accepted,,180,Genus,104161,Clausocalanus,"Giesbrecht, 1888",104082,Animalia,Arthropoda,Copepoda,Calanoida,Clausocalanidae,Clausocalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Clausocalanus Giesbrecht, 1888. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104161 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104161,1,0,0,0,,2024-05-08T21:07:08Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Doliolids,Doliolids,,Doliolida,urn:lsid:marinespecies.org:taxname:137212,exact,2022-01-18,5,500,100,0,,2,0,2,0,0.6666666666666666,6.673917458492459,133.33333333333331,2,0.5,137212,https://www.marinespecies.org/aphia.php?p=taxdetails&id=137212,Doliolida,"Delage & Hérouard, 1898",accepted,,100,Order,137212,Doliolida,"Delage & Hérouard, 1898",22626,Animalia,Chordata,Thaliacea,Doliolida,,,"Garic, R.; Madin, L.; van Soest, R.W.M. (2025). World List of Thaliacea. Doliolida. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=137212 on 2025-02-06",urn:lsid:marinespecies.org:taxname:137212,1,0,0,0,0,2013-02-27T18:58:29Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Eucalanus spp.,Eucalanus,,Eucalanus,urn:lsid:marinespecies.org:taxname:104171,exact,2022-01-18,5,500,100,0,,1,0,1,0,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,104171,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104171,Eucalanus,"Dana, 1852-1853",accepted,,180,Genus,104171,Eucalanus,"Dana, 1852-1853",104085,Animalia,Arthropoda,Copepoda,Calanoida,Eucalanidae,Eucalanus,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Eucalanus Dana, 1852-1853. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104171 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104171,1,0,0,0,,2022-05-16T12:20:05Z
fknms_logsheet_JAN2018.xlsx,WS18008,Western Sambo,WS,500,2018-01-09T19:46:00Z,2018-01-09,19:46:00,24.478,-81.717,500,0,23,0,415.3,415.3,1.5,0.245,0.5,,7,0.5,0.19634954084936207,101.7485,0.24225833333333335,19.978271257111317,,Euchaeta spp.,Euchaeta,,Euchaeta,urn:lsid:marinespecies.org:taxname:104174,exact,2022-01-18,5,500,100,0,,1,0,1,0,0.3333333333333333,3.3369587292462297,66.66666666666666,2,0.5,104174,https://www.marinespecies.org/aphia.php?p=taxdetails&id=104174,Euchaeta,"Philippi, 1843",accepted,,180,Genus,104174,Euchaeta,"Philippi, 1843",104086,Animalia,Arthropoda,Copepoda,Calanoida,Euchaetidae,Euchaeta,"Walter, T.C.; Boxshall, G. (2025). World of Copepods Database. Euchaeta Philippi, 1843. Accessed through: World Register of Marine Species at: https://www.marinespecies.org/aphia.php?p=taxdetails&id=104174 on 2025-02-06",urn:lsid:marinespecies.org:taxname:104174,1,0,0,0,,2020-08-10T10:49:04Z
